DayOfWeek,Hour,Sunrise_Sunset,Is_Weekend,Total_Accidents,Severe_Accidents
Wednesday,19,Night,False,30212,5996
Wednesday,19,Unknown,False,155,28
Wednesday,20,Day,False,2849,775
Wednesday,20,Night,False,31263,6528
Wednesday,20,Unknown,False,101,18
Wednesday,21,Day,False,29,10
Wednesday,21,Night,False,27700,5620
Wednesday,21,Unknown,False,153,40
Wednesday,22,Night,False,24441,4932
Wednesday,22,Unknown,False,93,11
Wednesday,23,Night,False,17873,2838
Wednesday,23,Unknown,False,71,9
